geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2020-07-02,140.73
city,Birmingham,driving,NA,Alabama,United States,2020-07-03,132.57
city,Birmingham,driving,NA,Alabama,United States,2020-07-04,101.27
city,Birmingham,driving,NA,Alabama,United States,2020-07-05,92.17
city,Birmingham,driving,NA,Alabama,United States,2020-07-06,120.9
city,Birmingham,driving,NA,Alabama,United States,2020-07-07,124.63
city,Birmingham,driving,NA,Alabama,United States,2020-07-08,127.31
city,Birmingham,driving,NA,Alabama,United States,2020-07-09,132.6
city,Birmingham,driving,NA,Alabama,United States,2020-07-10,153.42
city,Birmingham,driving,NA,Alabama,United States,2020-07-11,150.26
city,Birmingham,driving,NA,Alabama,United States,2020-07-12,99.84
city,Birmingham,driving,NA,Alabama,United States,2020-07-13,127.16
city,Birmingham,driving,NA,Alabama,United States,2020-07-14,131.75
city,Birmingham,driving,NA,Alabama,United States,2020-07-15,132.64
city,Birmingham,driving,NA,Alabama,United States,2020-07-16,136.11
city,Birmingham,driving,NA,Alabama,United States,2020-07-17,152.77
city,Birmingham,driving,NA,Alabama,United States,2020-07-18,147.79
city,Birmingham,driving,NA,Alabama,United States,2020-07-19,105.83
city,Birmingham,driving,NA,Alabama,United States,2020-07-20,123.86
city,Birmingham,driving,NA,Alabama,United States,2020-07-21,121.92
city,Birmingham,driving,NA,Alabama,United States,2020-07-22,131.64
city,Birmingham,driving,NA,Alabama,United States,2020-07-23,140.92
city,Birmingham,driving,NA,Alabama,United States,2020-07-24,159.89
city,Birmingham,driving,NA,Alabama,United States,2020-07-25,150.84
city,Birmingham,driving,NA,Alabama,United States,2020-07-26,106.27
city,Birmingham,driving,NA,Alabama,United States,2020-07-27,124.69
city,Birmingham,driving,NA,Alabama,United States,2020-07-28,126.14
city,Birmingham,driving,NA,Alabama,United States,2020-07-29,125.05
city,Birmingham,driving,NA,Alabama,United States,2020-07-30,135
city,Birmingham,driving,NA,Alabama,United States,2020-07-31,148.51
city,Birmingham,driving,NA,Alabama,United States,2020-08-01,149.36
city,Birmingham,driving,NA,Alabama,United States,2020-08-02,105.7
city,Birmingham,driving,NA,Alabama,United States,2020-08-03,129.45
city,Birmingham,driving,NA,Alabama,United States,2020-08-04,128.74
city,Birmingham,driving,NA,Alabama,United States,2020-08-05,133.29
city,Birmingham,driving,NA,Alabama,United States,2020-08-06,136.71
city,Birmingham,driving,NA,Alabama,United States,2020-08-07,154.19
city,Birmingham,driving,NA,Alabama,United States,2020-08-08,144.38
city,Birmingham,driving,NA,Alabama,United States,2020-08-09,108.24
city,Birmingham,driving,NA,Alabama,United States,2020-08-10,125.7
city,Birmingham,driving,NA,Alabama,United States,2020-08-11,128.18
city,Birmingham,driving,NA,Alabama,United States,2020-08-12,129.92
city,Birmingham,driving,NA,Alabama,United States,2020-08-13,134.25
city,Birmingham,driving,NA,Alabama,United States,2020-08-14,153.1
city,Birmingham,driving,NA,Alabama,United States,2020-08-15,152.23
city,Birmingham,driving,NA,Alabama,United States,2020-08-16,109.1
city,Birmingham,driving,NA,Alabama,United States,2020-08-17,124.32
city,Birmingham,driving,NA,Alabama,United States,2020-08-18,125.44
city,Birmingham,driving,NA,Alabama,United States,2020-08-19,130.1
city,Birmingham,driving,NA,Alabama,United States,2020-08-20,136.49
city,Birmingham,driving,NA,Alabama,United States,2020-08-21,159.27
city,Birmingham,driving,NA,Alabama,United States,2020-08-22,151.38
city,Birmingham,driving,NA,Alabama,United States,2020-08-23,108.79
city,Birmingham,driving,NA,Alabama,United States,2020-08-24,121.74
city,Birmingham,driving,NA,Alabama,United States,2020-08-25,119.68
city,Birmingham,driving,NA,Alabama,United States,2020-08-26,126.07
city,Birmingham,driving,NA,Alabama,United States,2020-08-27,127.89
city,Birmingham,driving,NA,Alabama,United States,2020-08-28,142.9
city,Birmingham,driving,NA,Alabama,United States,2020-08-29,144.33
city,Birmingham,driving,NA,Alabama,United States,2020-08-30,98.54
city,Birmingham,driving,NA,Alabama,United States,2020-08-31,117.32
city,Birmingham,driving,NA,Alabama,United States,2020-09-01,124.13
city,Birmingham,driving,NA,Alabama,United States,2020-09-02,129.86
city,Birmingham,driving,NA,Alabama,United States,2020-09-03,141.55
city,Birmingham,driving,NA,Alabama,United States,2020-09-04,163.34
city,Birmingham,driving,NA,Alabama,United States,2020-09-05,139.69
city,Birmingham,driving,NA,Alabama,United States,2020-09-06,104.47
city,Birmingham,driving,NA,Alabama,United States,2020-09-07,101.55
city,Birmingham,driving,NA,Alabama,United States,2020-09-08,122.22
city,Birmingham,driving,NA,Alabama,United States,2020-09-09,125.42
city,Birmingham,driving,NA,Alabama,United States,2020-09-10,135.84
city,Birmingham,driving,NA,Alabama,United States,2020-09-11,155.42
city,Birmingham,driving,NA,Alabama,United States,2020-09-12,149.95
city,Birmingham,driving,NA,Alabama,United States,2020-09-13,106.12
city,Birmingham,driving,NA,Alabama,United States,2020-09-14,121.89
